City_ID,City,Country,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Norman Wells,CA,65.282,-126.8329,36.93,86,35,11.41,scattered clouds
79,Solton,RU,52.8429,86.4787,34.48,72,100,5.28,overcast clouds
80,Chapais,CA,49.7834,-74.8492,49.32,99,100,3.02,overcast clouds
81,Chapala,MX,20.3,-103.2,67.93,71,60,4.83,broken clouds
82,Fortuna,US,40.5982,-124.1573,59.94,82,51,4.0,broken clouds
83,Ribeira Grande,PT,38.5167,-28.7,70.29,89,100,19.73,overcast clouds
84,Rock Springs,US,41.5875,-109.2029,55.04,51,0,4.12,clear sky
85,Birchis,RO,45.9667,22.1667,43.9,94,11,3.09,light rain
86,East London,ZA,-33.0153,27.9116,63.25,81,81,11.83,broken clouds
87,Chokurdakh,RU,70.6333,147.9167,24.49,82,97,7.11,overcast clouds
88,Campobello Di Mazara,IT,37.6358,12.7443,66.85,87,0,5.84,clear sky
89,Manokwari,ID,-0.8667,134.0833,84.29,66,100,6.51,overcast clouds
90,La Ronge,CA,55.1001,-105.2842,52.52,62,0,7.38,clear sky
91,Envira,BR,-7.3,-70.2167,76.89,71,68,3.0,broken clouds
92,Hermiston,US,45.8404,-119.2895,75.81,56,0,4.61,clear sky
93,Esperance,AU,-33.8667,121.9,66.06,58,52,17.0,broken clouds
94,Hobart,AU,-42.8794,147.3294,54.05,68,75,10.36,broken clouds
95,Dunnville,CA,42.9001,-79.6163,57.16,44,13,4.45,few clouds
96,Baghdad,IQ,33.3406,44.4009,84.09,16,0,9.35,clear sky
97,Alekseyevsk,RU,57.8406,108.3492,31.75,64,32,6.31,scattered clouds
98,Coolum Beach,AU,-26.5333,153.1,71.33,70,100,8.9,overcast clouds
99,Shelburne,CA,44.0787,-80.2041,52.59,76,9,2.62,clear sky
100,Lafia,NG,8.4833,8.5167,74.05,94,100,2.73,overcast clouds
101,Malinovoye Ozero,RU,51.6753,79.7825,37.6,50,84,4.7,broken clouds
102,Mananjary,MG,-21.2167,48.3333,66.42,90,29,7.78,scattered clouds
103,Cidreira,BR,-30.1811,-50.2056,59.63,86,3,4.23,clear sky
104,Metro,ID,-5.1131,105.3067,82.58,71,100,6.98,overcast clouds
105,Dafeng,CN,23.4517,108.5881,85.48,65,2,2.84,clear sky
106,Manggar,ID,-2.8833,108.2667,84.36,66,100,2.91,overcast clouds
107,Tasiilaq,GL,65.6145,-37.6368,35.76,65,3,7.43,clear sky
108,San Ramon,US,37.7799,-121.978,75.27,71,0,6.91,clear sky
109,Marawi,PH,7.9986,124.2928,80.08,66,68,4.79,broken clouds
110,Cape Town,ZA,-33.9258,18.4232,51.91,70,0,2.3,clear sky
111,Kaitangata,NZ,-46.2817,169.8464,36.88,90,99,19.19,overcast clouds
112,Ortakoy,TR,38.7373,34.0387,55.65,77,74,8.59,broken clouds
113,Sabalgarh,IN,26.25,77.4,77.02,82,95,2.01,overcast clouds
114,Waitara,NZ,-38.925,174.25,50.0,79,100,25.72,overcast clouds
115,Nikolskoye,RU,59.7035,30.7861,45.81,96,85,3.51,overcast clouds
116,Lensk,RU,60.7253,114.9278,30.6,67,99,12.97,overcast clouds
117,Quatre Cocos,MU,-20.2078,57.7625,67.08,73,85,11.07,overcast clouds
118,Kapaa,US,22.0752,-159.319,84.18,67,5,5.01,clear sky
119,Khatanga,RU,71.9667,102.5,29.08,98,100,4.81,light snow
120,Montefiascone,IT,42.5393,12.0362,62.28,88,0,1.99,clear sky
121,Wanning,CN,18.8003,110.3967,83.88,75,4,8.48,clear sky
122,Airai,TL,-8.9266,125.4092,73.49,63,82,2.17,broken clouds
123,Namibe,AO,-15.1961,12.1522,64.08,90,58,5.08,broken clouds
124,Cabo San Lucas,MX,22.8909,-109.9124,82.62,77,0,7.29,clear sky
125,Ahipara,NZ,-35.1667,173.1667,58.95,73,100,14.81,overcast clouds
126,Moundsville,US,39.9203,-80.7431,55.15,83,99,3.53,overcast clouds
127,Barrow,US,71.2906,-156.7887,33.82,86,100,5.75,overcast clouds
128,Port Macquarie,AU,-31.4333,152.9167,63.9,56,100,9.62,overcast clouds
129,Chuy,UY,-33.6971,-53.4616,53.08,89,0,5.5,clear sky
130,Kavaratti,IN,10.5669,72.642,81.57,76,100,15.5,overcast clouds
131,Bonthe,SL,7.5264,-12.505,77.04,89,100,2.26,overcast clouds
132,Islamkot,PK,24.6997,70.177,79.5,72,0,9.71,clear sky
133,Bethel,US,41.3712,-73.414,55.76,88,100,7.0,overcast clouds
134,Asau,RO,46.4333,26.4,47.32,92,10,5.12,clear sky
135,Faanui,PF,-16.4833,-151.75,78.58,72,18,25.61,few clouds
136,Laguna,US,38.421,-121.4238,83.75,47,0,6.91,clear sky
137,Souillac,MU,-20.5167,57.5167,68.38,83,40,3.44,scattered clouds
138,Santa Luzia,BR,-19.7697,-43.8514,65.52,95,100,1.68,overcast clouds
139,Gryfino,PL,53.2524,14.4883,53.53,83,100,8.55,overcast clouds
140,Okhotsk,RU,59.3833,143.3,34.7,50,100,14.81,overcast clouds
141,Sovetskiy,RU,61.3614,63.5842,45.25,93,80,0.92,broken clouds
142,Lagoa,PT,39.05,-27.9833,67.42,86,100,21.47,light rain
143,Ponta Do Sol,PT,32.6667,-17.1,71.71,68,52,3.42,broken clouds
144,Ust-Kulom,RU,61.6864,53.6902,44.02,79,96,4.29,overcast clouds
145,Gornoye Loo,RU,43.7129,39.6049,60.58,89,100,6.35,moderate rain
146,Kisangani,CD,0.5167,25.2,70.05,99,100,2.28,light rain
147,Atuona,PF,-9.8,-139.0333,76.84,69,40,20.83,scattered clouds
148,Laguna De Perlas,NI,12.3429,-83.6712,78.33,88,100,9.91,overcast clouds
149,Severo-Kurilsk,RU,50.6789,156.125,46.02,90,100,22.3,light rain
150,Nouadhibou,MR,20.931,-17.0347,73.78,81,97,20.22,overcast clouds
151,Oranjestad,AW,12.524,-70.027,84.15,83,20,14.97,few clouds
152,Taguatinga,BR,-12.3857,-46.5711,85.35,26,59,2.84,broken clouds
